"Player","Team","Pass Completions"
"Latavius Murray ","BUF","760"
"Jalen Hurts ","PHI","760"
"Khalil Herbert ","CHI","731"
"Daniel Jones ","NYG","708"
"C. Patterson ","ATL","695"
"Leonard Fournette ","FA","668"
"Taysom Hill ","NO","575"
"Antonio Gibson ","WAS","546"
"D'Andre Swift ","PHI","542"
"J.K. Dobbins ","BAL","520"
"James Cook ","BUF","507"
"Kenyan Drake ","FA","482"
"Rachaad White ","TB","481"
"Kareem Hunt ","FA","468"
"Chuba Hubbard ","CAR","466"
"Breece Hall ","NYJ","463"
"Damien Harris ","BUF","462"
"Zack Moss ","IND","456"
"Marcus Mariota ","PHI","438"
"Gus Edwards ","BAL","433"
"James Robinson ","NE","425"
"Kyler Murray ","ARI","418"
"Michael Carter ","NYJ","402"
"Samaje Perine ","DEN","394"
"Jaylen Warren ","PIT","379"
"Caleb Huntley ","ATL","366"
""
"Player","Team","Rushing TDs"
"Jamaal Williams ","NO","17"
"Jalen Hurts ","PHI","13"
"Austin Ekeler ","LAC","13"
"Derrick Henry ","TEN","13"
"Josh Jacobs ","LV","12"
"Nick Chubb ","CLE","12"
"Ezekiel Elliott ","FA","12"
"Miles Sanders ","CAR","11"
"Saquon Barkley ","NYG","10"
"Kenneth Walker III ","SEA","9"
"Tony Pollard ","DAL","9"
"Dalvin Cook ","MIN","8"
"C. McCaffrey ","SF","8"
"C. Patterson ","ATL","8"
"Justin Fields ","CHI","8"
"Joe Mixon ","CIN","7"
"Cam Akers ","LAR","7"
"Daniel Jones ","NYG","7"
"AJ Dillon ","GB","7"
"Najee Harris ","PIT","7"
"Josh Allen ","BUF","7"
"Taysom Hill ","NO","7"
"James Conner ","ARI","7"
"Latavius Murray ","BUF","6"
"D'Andre Swift ","PHI","5"
"Trevor Lawrence ","JAC","5"
"Travis Etienne Jr. ","JAC","5"
"David Montgomery ","DET","5"
"Jeff Wilson Jr. ","MIA","5"
"Joe Burrow ","CIN","5"
"D'Onta Foreman ","CHI","5"
"Alexander Mattison ","MIN","5"
"R. Stevenson ","NE","5"
"Devin Singletary ","HOU","5"
"Isiah Pacheco ","KC","5"
"Marcus Mariota ","PHI","4"
"Breece Hall ","NYJ","4"
"Kenneth Gainwell ","PHI","4"
"Kenyan Drake ","FA","4"
"Jonathan Taylor ","IND","4"
"Dameon Pierce ","HOU","4"
"Khalil Herbert ","CHI","4"
"Patrick Mahomes II ","KC","4"
"Kenny Pickett ","PIT","3"
"Gus Edwards ","BAL","3"
"C. Edwards-Helaire ","KC","3"
"Boston Scott ","PHI","3"
"Kyler Murray ","ARI","3"
"Michael Carter ","NYJ","3"
"Russell Wilson ","DEN","3"
"Leonard Fournette ","FA","3"
"Tyler Allgeier ","ATL","3"
"Damien Harris ","BUF","3"
"Antonio Gibson ","WAS","3"
"Deebo Samuel ","SF","3"
"James Robinson ","NE","3"
"Kareem Hunt ","FA","3"
"Lamar Jackson ","BAL","3"
"D. Henderson Jr. ","FA","3"
"Raheem Blackshear ","CAR","3"
""
"Player","Team","Receptions"
"Justin Jefferson ","MIN","128"
"Tyreek Hill ","MIA","119"
"Travis Kelce ","KC","110"
"Stefon Diggs ","BUF","108"
"CeeDee Lamb ","DAL","107"
"Austin Ekeler ","LAC","107"
"Amon-Ra St. Brown ","DET","106"
"Chris Godwin ","TB","104"
"Davante Adams ","LV","100"
"M. Pittman Jr. ","IND","99"
"DeVonta Smith ","PHI","95"
"DK Metcalf ","SEA","90"
"A.J. Brown ","PHI","88"
"Ja'Marr Chase ","CIN","87"
"Diontae Johnson ","PIT","86"
"T.J. Hockenson ","MIN","86"
"C. McCaffrey ","SF","85"
"Christian Kirk ","JAC","84"
"Tyler Lockett ","SEA","84"
"Garrett Wilson ","NYJ","83"
"Zay Jones ","JAC","82"
"Brandon Aiyuk ","SF","78"
"J. Smith-Schuster ","NE","78"
"Amari Cooper ","CLE","78"
"Terry McLaurin ","WAS","77"
"Mike Evans ","TB","77"
"Cooper Kupp ","LAR","75"
"Jaylen Waddle ","MIA","75"
"Tee Higgins ","CIN","74"
"Evan Engram ","JAC","73"
"Leonard Fournette ","FA","73"
"Mark Andrews ","BAL","73"
"Tyler Higbee ","LAR","72"
"Chris Olave ","NO","72"
"Joshua Palmer ","LAC","72"
"Drake London ","ATL","72"
"Adam Thielen ","CAR","70"
"R. Stevenson ","NE","69"
"Marquise Brown ","ARI","67"
"Jakobi Meyers ","LV","67"
"Jerry Jeudy ","DEN","67"
"Keenan Allen ","LAC","66"
"DeAndre Hopkins ","FA","64"
"Courtland Sutton ","DEN","64"
"Curtis Samuel ","WAS","64"
"DJ Moore ","CHI","63"
"Mike Williams ","LAC","63"
"Parris Campbell ","NYG","63"
"Pat Freiermuth ","PIT","63"
"D. Peoples-Jones ","CLE","61"
"K.J. Osborn ","MIN","60"
"Joe Mixon ","CIN","60"
"George Kittle ","SF","60"
"Allen Lazard ","NYJ","60"
"Aaron Jones ","GB","59"
"Tyler Boyd ","CIN","58"
"David Njoku ","CLE","58"
"Gerald Everett ","LAC","58"
"Tyler Conklin ","NYJ","58"
"Saquon Barkley ","NYG","57"
""
"Player","Team","Receiving Yards"
"Justin Jefferson ","MIN","1,809"
"Tyreek Hill ","MIA","1,710"
"Davante Adams ","LV","1,516"
"A.J. Brown ","PHI","1,496"
"Stefon Diggs ","BUF","1,429"
"CeeDee Lamb ","DAL","1,359"
"Jaylen Waddle ","MIA","1,356"
"Travis Kelce ","KC","1,338"
"DeVonta Smith ","PHI","1,196"
"Terry McLaurin ","WAS","1,191"
"Amon-Ra St. Brown ","DET","1,161"
"Amari Cooper ","CLE","1,160"
"Mike Evans ","TB","1,124"
"Christian Kirk ","JAC","1,108"
"Garrett Wilson ","NYJ","1,103"
"DK Metcalf ","SEA","1,048"
"Ja'Marr Chase ","CIN","1,046"
"Chris Olave ","NO","1,042"
"Tyler Lockett ","SEA","1,033"
"Tee Higgins ","CIN","1,029"
"Chris Godwin ","TB","1,023"
"Brandon Aiyuk ","SF","1,015"
"Jerry Jeudy ","DEN","972"
"J. Smith-Schuster ","NE","933"
"M. Pittman Jr. ","IND","925"
"T.J. Hockenson ","MIN","914"
"Mike Williams ","LAC","895"
"DJ Moore ","CHI","888"
"Diontae Johnson ","PIT","882"
"Drake London ","ATL","866"
"Mark Andrews ","BAL","847"
"D. Peoples-Jones ","CLE","839"
"Gabe Davis ","BUF","836"
"Courtland Sutton ","DEN","829"
"Zay Jones ","JAC","823"
"Cooper Kupp ","LAR","812"
"Jakobi Meyers ","LV","804"
"George Pickens ","PIT","801"
"Allen Lazard ","NYJ","788"
"Joshua Palmer ","LAC","769"
"Evan Engram ","JAC","766"
"George Kittle ","SF","765"
"Tyler Boyd ","CIN","762"
"Keenan Allen ","LAC","752"
"C. McCaffrey ","SF","741"
"Pat Freiermuth ","PIT","732"
"Darius Slayton ","NYG","724"
"Austin Ekeler ","LAC","722"
"DeAndre Hopkins ","FA","717"
"Adam Thielen ","CAR","716"
"Marquise Brown ","ARI","709"
"Dallas Goedert ","PHI","702"
"Brandin Cooks ","DAL","699"
"Mack Hollins ","ATL","690"
"M. Valdes-Scantling ","KC","687"
"Curtis Samuel ","WAS","656"
"K.J. Osborn ","MIN","650"
"Deebo Samuel ","SF","632"
"David Njoku ","CLE","628"
"Parris Campbell ","NYG","623"
""
"Player","Team","Receiving TDs"
"Davante Adams ","LV","14"
"Travis Kelce ","KC","12"
"George Kittle ","SF","11"
"Stefon Diggs ","BUF","11"
"A.J. Brown ","PHI","11"
"Amari Cooper ","CLE","9"
"Tyler Lockett ","SEA","9"
